run_id	sample	strain	mean_coverage_depth	coverage_breadth
HPV_150123_run01	Undetermined	HPV16_E7	1.387205387205387	0.9225589225589226
HPV_150123_run01	Undetermined	HPV18_E7	0.7169811320754716	0.3584905660377358
HPV_150123_run01	KHCA-135	HPV58_E7	0.8686868686868687	0.8686868686868687
HPV_150123_run01	KHCA-075	HPV18_E7	214.21069182389937	1.0
HPV_150123_run01	KHCA-136	HPV71_E7	23.842105263157894	1.0
HPV_150123_run01	KHCA-064	HPV16_E7	38.61952861952862	1.0
HPV_250523_run02	KHCA223	HPV66_E7	1.7735849056603774	0.9937106918238994
HPV_250523_run02	KHCA169	HPV56_E7	9.5062893081761	0.9811320754716981
HPV_250523_run02	KHCA151	HPV53_E7	17.845911949685533	0.9811320754716981
HPV_250523_run02	KHCA151	HPV56_E7	9.78930817610063	0.9968553459119497
HPV_250523_run02	HPV019	HPV90_E7	78.8080808080808	1.0
HPV_250523_run02	KHCA213	HPV18_E7	4.110062893081761	0.7672955974842768
HPV_250523_run02	KHCA149	HPV16_E7	4.383838383838384	0.8518518518518519
HPV_250523_run02	Undetermined	HPV90_E7	0.6801346801346801	0.3400673400673401
HPV_250523_run02	KHCA166	HPV30_E7	0.9465408805031447	0.5440251572327044
HPV_250523_run02	KHCA166	HPV53_E7	0.4748427672955975	0.4748427672955975
HPV_250523_run02	KHCA166	HPV56_E7	1.3742138364779874	0.6194968553459119
HPV_250523_run02	KHCA186	HPV16_E7	0.8013468013468014	0.4006734006734007
HPV_250523_run02	KHCA186	HPV30_E7	0.9182389937106918	0.7672955974842768
HPV_250523_run02	KHCA179	HPV71_E7	6.968421052631579	0.9754385964912281
HPV_250523_run02	KHCA152	HPV16_E7	1.5454545454545454	0.7037037037037037
HPV_160823_run03	KHCA-306	HPV16_E7	18.72053872053872	0.9966329966329966
HPV_160823_run03	KHCA-237	HPV18_E7	0.4528301886792453	0.22641509433962265
HPV_160823_run03	KHCA-289	HPV56_E7	458.65408805031444	1.0
HPV_160823_run03	Undetermined	HPV90_E7	0.5084175084175084	0.5084175084175084
HPV_160823_run03	Undetermined	HPV56_E7	3.2735849056603774	0.9779874213836478
HPV_160823_run03	KHCA-298	HPV91_E7	5.626262626262626	0.9730639730639731
HPV_160823_run03	KHCA-298	HPV16_E7	13.0	0.9292929292929293
HPV_160823_run03	HPV019	HPV90_E7	69.32323232323232	1.0
